path	line	git_class	rule
DELIVERY.md	7	tracked	windows_absolute_path
DELIVERY.md	8	tracked	windows_absolute_path
DELIVERY.md	9	tracked	windows_absolute_path
DELIVERY.md	10	tracked	windows_absolute_path
DELIVERY.md	11	tracked	windows_absolute_path
IMPLEMENTATION_NOTES.md	12	tracked	windows_absolute_path
IMPLEMENTATION_NOTES.md	24	tracked	windows_absolute_path
IMPLEMENTATION_NOTES.md	25	tracked	windows_absolute_path
IMPLEMENTATION_NOTES.md	26	tracked	windows_absolute_path
IMPLEMENTATION_NOTES.md	35	tracked	windows_absolute_path
IMPLEMENTATION_NOTES.md	56	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	5	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	29	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	30	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	31	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	32	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	33	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	34	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	35	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	36	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	37	tracked	windows_absolute_path
design/frontend-migration-plan-v0.1.8.md	220	tracked	windows_absolute_path
design/v0-world-tree-frontend-revision-prompt-v0.1.8.md	3	tracked	windows_absolute_path
docs/v0.3.0-baseline-audit.md	5	tracked	windows_absolute_path
docs/World-Tree-开源发布执行计划书.md	76	tracked	windows_absolute_path
docs/World-Tree-开源发布执行计划书.md	80	tracked	windows_absolute_path
docs/World-Tree-开源发布执行计划书.md	200	tracked	windows_absolute_path
personas/hermes-writer-soul.md	107	tracked	windows_absolute_path
src/core/workflows/workflow-observability.js	6	tracked	windows_absolute_path
src/core/workflows/workflow-result-schema.js	20	tracked	windows_absolute_path
src/core/workflows/adapters/console-workflow-adapter.js	7	tracked	windows_absolute_path
src/core/workflows/adapters/console-workflow-adapter.js	24	tracked	windows_absolute_path
src/core/workflows/adapters/server-workflow-adapter.js	40	tracked	windows_absolute_path
tests/integration/connection-diagnostics.test.js	61	tracked	password_assignment
tests/integration/data-import-strict-path.test.js	41	tracked	windows_absolute_path
tests/integration/data-import-strict-path.test.js	42	tracked	windows_absolute_path
tests/integration/legacy-mechanism-expansion.test.js	87	tracked	windows_absolute_path
tests/integration/workflow-e2e.test.js	48	tracked	windows_absolute_path
tests/integration/workflow-real-llm-adapter.test.js	13	tracked	password_assignment
tests/integration/workflow-real-llm-adapter.test.js	16	tracked	bearer_literal
tests/integration/workflow-real-llm-adapter.test.js	42	tracked	password_assignment
tests/unit/alchemy-preview-service.test.js	39	tracked	openai_like_key
tests/unit/alchemy-preview-service.test.js	39	tracked	password_assignment
tests/unit/alchemy-preview-service.test.js	40	tracked	windows_absolute_path
tests/unit/alchemy-preview-service.test.js	54	tracked	windows_absolute_path
tests/unit/guardian-overlay.test.js	13	tracked	windows_absolute_path
tests/unit/guardian.test.js	24	tracked	windows_absolute_path
tests/unit/legacy-module-wrappers.test.js	85	tracked	windows_absolute_path
tests/unit/legacy-module-wrappers.test.js	88	tracked	openai_like_key
tests/unit/legacy-module-wrappers.test.js	89	tracked	windows_absolute_path
tests/unit/legacy-module-wrappers.test.js	94	tracked	openai_like_key
tests/unit/llm.test.js	7	tracked	password_assignment
tests/unit/llm.test.js	35	tracked	password_assignment
tests/unit/mechanism-status.test.js	60	tracked	openai_like_key
tests/unit/mechanism-status.test.js	60	tracked	password_assignment
tests/unit/mechanism-status.test.js	161	tracked	windows_absolute_path
tests/unit/mechanism-status.test.js	161	tracked	openai_like_key
tests/unit/mechanism-status.test.js	161	tracked	password_assignment
tests/unit/mechanism-status.test.js	168	tracked	windows_absolute_path
tests/unit/mode-project-factory.test.js	159	tracked	windows_absolute_path
tests/unit/module-runtime-orchestrator.test.js	195	tracked	windows_absolute_path
tests/unit/module-runtime-orchestrator.test.js	196	tracked	windows_absolute_path
tests/unit/path-security.test.js	63	tracked	windows_absolute_path
tests/unit/path-security.test.js	64	tracked	windows_absolute_path
tests/unit/v2-ready-visibility.test.js	31	tracked	password_assignment
tests/unit/workflow-console-summary.test.js	16	tracked	windows_absolute_path
tests/unit/workflow-spine.test.js	85	tracked	windows_absolute_path
tests/unit/workflow-spine.test.js	87	tracked	windows_absolute_path
tests/unit/workflow-strategy-direction.test.js	17	tracked	windows_absolute_path
userData/corrupt-files.jsonl	1	local-only	windows_absolute_path
